file_name,y_test,CNN_y_pred,CNN_y_prediction,VGG16_y_pred,VGG16_y_prediction,ResNet50_y_pred,ResNet50_y_prediction,EfficientNetB0_y_pred,EfficientNetB0_y_prediction
21B002-01-022-1_(72).jpg,1,0,0.455273,1,0.97188187,1,0.98340005,1,0.7174816
21B002-01-022-1_(105).jpg,1,1,0.74312806,1,0.9857896,1,0.9886417,0,0.18606867
21B002-01-024-1_(76).jpg,1,1,1.0,1,1.0,1,0.85727894,1,1.0
21B002-01-024-1_(98).jpg,1,1,1.0,1,1.0,1,0.99999976,1,1.0
21B002-01-013-1_(145).jpg,1,0,0.43244952,1,0.9986533,0,0.48540163,1,0.98458105
21B002-01-022-1_(143).jpg,1,1,0.92016655,1,0.9861683,1,0.99794203,1,0.71187127
21B002-01-012-1_(147).jpg,1,1,0.9522895,1,0.99982965,1,0.55269396,0,0.06751927
21B002-01-004-1_(150).jpg,1,1,1.0,1,1.0,1,0.8672636,1,0.9879951
21B002-01-022-1_(26).jpg,1,1,0.97826594,1,0.9998728,1,0.99902296,1,0.85507596
21B002-01-012-1_(129).jpg,1,1,0.9999862,1,1.0,1,0.95735765,1,0.9259351
21B002-01-021-1_(130).jpg,1,1,0.7396842,1,0.7996783,1,0.9889448,1,0.8213835
21B002-01-011-1_(24).jpg,1,1,0.60185146,1,0.99969983,1,0.99941313,0,0.08790885
21B002-01-022-1_(124).jpg,1,1,0.50296867,1,0.8945,0,0.27302784,0,0.034905534
21B002-01-004-1_(88).jpg,1,1,0.9999852,1,1.0,1,0.99834716,1,0.9702256
21B002-01-021-1_(37).jpg,1,1,0.8806479,1,0.999889,1,0.99832696,1,0.71656495
21B002-01-022-1_(152).jpg,1,0,0.08974065,0,0.22159186,1,0.61444396,1,0.9991603
21B002-01-012-1_(143).jpg,1,1,0.9963349,1,0.99999976,0,0.32062322,1,0.9845628
21B002-01-014-1_(95).jpg,1,1,1.0,1,1.0,1,0.64505774,1,0.9999976
21B002-01-022-1_(40).jpg,1,1,0.90772784,1,0.96658015,1,0.926008,1,0.77120125
21B002-01-019-1_(78).jpg,1,1,0.87060046,0,0.48383024,0,0.19308487,1,1.0
21B002-01-004-1_(93).jpg,1,1,0.9995752,1,1.0,1,0.9996996,1,0.9474518
21B002-01-022-1_(83).jpg,1,1,0.9561147,1,0.999448,1,0.99149466,1,0.63886803
21B002-01-022-1_(119).jpg,1,1,0.6838159,1,0.97039527,1,0.5861062,0,0.121473216
21B002-01-021-1_(83).jpg,1,1,0.664101,1,0.9656173,1,0.97489095,1,0.69077384
21B002-01-021-1_(109).jpg,1,0,0.34265718,1,0.5722477,1,0.8857603,0,0.28422388
21B002-01-024-1_(117).jpg,1,1,0.9986463,1,1.0,1,0.9999273,1,0.9751082
21B002-01-024-1_(135).jpg,1,1,0.99999905,1,1.0,1,0.99941695,1,0.9963315
